Vehicle Name,Year of Model,Brand Name,Engine,Kms Driven,Variant,Transmission Type,Number of Photos Uploaded,Total Views,Price of the Car
2018 Maruti Wagon R,2018,Maruti,VXI Opt,"65,783",Petrol,Manual, 31,1566,"4,80,500"
2018 Maruti Ignis,2018,Maruti,1.2 AMT Zeta BSIV,"31,804",Petrol,Automatic, 13,294,"6,47,500"
2018 Maruti Ignis,2018,Maruti,Zeta,"20,642",Petrol,Manual, 13,337,"6,11,500"
2014 Hyundai Grand I10,2014,Hyundai,Sportz,"60,840",Petrol,Manual, 13,1476,"4,60,000"
2018 Toyota Yaris,2018,Toyota,V,"71,039",Petrol,Manual, 13,2207,"8,40,000"
2014 Honda Brio,2014,Honda,S MT,"67,470",Petrol,Manual, 13,179,"4,23,500"
2018 Maruti Vitara Brezza,2018,Maruti,VDi Option,"55,280",Diesel,Manual, 31,2244,"7,77,500"
2013 Maruti Swift Dzire,2013,Maruti,VXI,"76,319",Petrol,Manual, 13,1123,"4,70,000"
2016 Maruti Swift,2016,Maruti,VXI BSIV,"4,781",Petrol,Manual, 13,654,"6,66,500"
2013 Honda City,2013,Honda,V MT,"50,746",Petrol,Manual, 13,401,"5,80,000"
2015 Maruti Swift,2015,Maruti,VXI BSIV,"42,501",Petrol,Manual, 13,688,"5,25,000"
2017 Honda Jazz,2017,Honda,1.2 S i VTEC,"44,490",Petrol,Manual, 13,1733,"6,05,000"
2015 Hyundai Xcent,2015,Hyundai,1.2 Kappa S,"42,673",Petrol,Manual, 13,806,"4,60,000"
2021 Maruti Swift,2021,Maruti,VXI,"5,137",Petrol,Manual, 13,165,"7,50,000"
2015 Maruti Wagon R,2015,Maruti,VXI,"79,315",Petrol,Manual, 13,1777,"3,80,000"
2017 Maruti Wagon R,2017,Maruti,VXI,"20,912",Petrol,Manual, 13,2901,"4,50,000"
2014 Maruti Wagon R,2014,Maruti,VXI BS IV,"42,076",Petrol,Manual, 13,312,"3,60,500"
2017 Maruti Baleno,2017,Maruti,1.2 Zeta,"46,812",Petrol,Manual, 13,1686,"5,50,000"
2019 Renault Kwid,2019,Renault,RXL,"14,195",Petrol,Manual, 31,4173,"3,15,000"
2017 Honda City,2017,Honda,i VTEC V,"31,651",Petrol,Manual, 31,4551,"7,50,000"
2020 Honda Wr-v,2020,Honda,i-VTEC VX,"8,580",Petrol,Manual, 13,3528,"8,30,000"
2019 Maruti Baleno,2019,Maruti,1.2 Delta,"19,726",Petrol,Manual, 31,3013,"5,25,000"
2019 Maruti Baleno,2019,Maruti,1.2 Delta,"23,308",Petrol,Manual, 31,4521,"5,40,000"
2017 Renault Kwid,2017,Renault,RXT,"28,120",Petrol,Manual, 30,4391,"2,85,000"
2020 Maruti Wagon R,2020,Maruti,LXI BS IV,"11,367",Petrol,Manual, 13,1411,"5,33,500"
2017 Maruti Ciaz,2017,Maruti,1.4 Delta,"47,949",Petrol,Manual, 11,2036,"6,30,000"
2015 Volkswagen Polo,2015,Volkswagen,GT TSI,"35,986",Petrol,Automatic, 13,4620,"5,70,000"
2016 Maruti Alto K10,2016,Maruti,VXI,"61,562",Petrol,Manual, 14,2557,"2,85,000"
2016 Maruti Alto 800,2016,Maruti,LXI,"65,107",Petrol,Manual, 7,342,"2,63,000"
2018 Maruti Ciaz,2018,Maruti,Zeta Diesel,"75,199",Diesel,Manual, 30,2772,"6,55,000"
2017 Ford Ecosport,2017,Ford,1.5 Diesel Trend,"59,404",Diesel,Manual, 14,2733,"6,01,000"
2016 Ford Ecosport,2016,Ford,1.5 Ti VCT MT Titanium BSIV,"57,729",Petrol,Manual, 15,2749,"5,80,000"
2019 Tata Tiago,2019,Tata,1.2 Revotron XTA,"10,074",Petrol,Automatic, 13,866,"5,35,000"
2020 Maruti S-presso,2020,Maruti,VXI,"18,713",Petrol,Manual, 29,8828,"4,25,000"
2016 Maruti Celerio,2016,Maruti,VXI,"33,409",Petrol,Manual, 15,395,"3,89,000"
2019 Hyundai Venue,2019,Hyundai,S Turbo,"18,490",Petrol,Manual, 16,3165,"8,50,000"
2018 Maruti Vitara Brezza,2018,Maruti,VDi Option,"82,299",Diesel,Manual, 13,4371,"6,23,000"
2016 Maruti Alto K10,2016,Maruti,VXI AMT,"11,507",Petrol,Automatic, 15,904,"3,42,000"
2018 Toyota Yaris,2018,Toyota,G CVT BSIV,"34,118",Petrol,Automatic, 13,862,"9,18,000"
2017 Maruti Swift Dzire,2017,Maruti,ZXI,"47,576",Petrol,Manual, 13,775,"5,97,500"
2019 Renault Triber,2019,Renault,RXT BSIV,"24,332",Petrol,Manual, 13,1153,"5,45,500"
2019 Maruti Alto 800,2019,Maruti,VXI,"42,581",Petrol,Manual, 13,703,"3,15,000"
2015 Maruti Celerio,2015,Maruti,VXI AT,"25,226",Petrol,Automatic, 13,464,"3,90,500"
2015 Ford Ecosport,2015,Ford,Ambiente Diesel,"1,24,052",Diesel,Manual, 13,2628,"4,00,000"
2016 Maruti Celerio,2016,Maruti,ZXI AT,"34,892",Petrol,Automatic, 13,1681,"4,50,000"
2015 Maruti Ritz,2015,Maruti,ZXi,"67,959",Petrol,Manual, 13,1874,"3,97,500"
2015 Maruti Wagon R,2015,Maruti,VXI,"24,152",Petrol,Manual, 13,1871,"4,35,000"
2016 Maruti Celerio,2016,Maruti,ZXI AT,"28,529",Petrol,Automatic, 13,4744,"4,60,000"
2017 Maruti Wagon R,2017,Maruti,VXI BS IV,"50,353",Petrol,Manual, 13,2790,"4,21,000"
2015 Hyundai Grand I10,2015,Hyundai,AT Asta,"86,499",Petrol,Automatic, 13,1418,"4,30,000"
2016 Honda Jazz,2016,Honda,V,"27,666",Petrol,Manual, 13,1454,"5,45,000"
2019 Maruti Baleno,2019,Maruti,Zeta CVT,"12,044",Petrol,Automatic, 13,1642,"7,90,000"
2013 Honda Brio,2013,Honda,VX AT,"46,367",Petrol,Automatic, 13,913,"3,80,000"
2018 Maruti Baleno,2018,Maruti,Zeta CVT,"26,702",Petrol,Automatic, 19,3313,"7,15,000"
2014 Hyundai Grand I10,2014,Hyundai,AT Asta,"54,990",Petrol,Automatic, 13,3314,"4,60,000"
